employee_id,first_name,last_name,department,role_level,job_title,hire_date,termination_date,employment_status,manager_id,salary,performance_rating,gender,ethnicity,age
EMP001,Sarah,Johnson,Clinical Operations,Director,Director of Clinical Operations,2019-03-15,,Active,CEO001,95000,Exceeds,Female,White,42
EMP002,Michael,Chen,Patient Services,Manager,Patient Services Manager,2020-07-22,,Active,EMP001,72000,Meets,Male,Asian,38
EMP003,Jennifer,Williams,Administration,Manager,Operations Manager,2018-11-08,,Active,CEO001,68000,Exceeds,Female,Black,35
EMP004,David,Rodriguez,IT,Manager,IT Manager,2021-02-14,,Active,CEO001,78000,Meets,Male,Hispanic,41
EMP005,Lisa,Thompson,Finance,Manager,Finance Manager,2019-09-30,,Active,CEO001,75000,Exceeds,Female,White,39
EMP006,James,Anderson,HR,Manager,HR Manager,2020-01-20,,Active,CEO001,70000,Meets,Male,White,44
EMP007,Maria,Garcia,Clinical Operations,Coordinator,Clinical Coordinator,2022-05-16,,Active,EMP001,52000,Meets,Female,Hispanic,29
EMP008,Robert,Taylor,Patient Services,Coordinator,Patient Care Coordinator,2021-08-03,,Active,EMP002,48000,Meets,Male,White,33
EMP009,Amanda,Brown,Administration,Coordinator,Administrative Coordinator,2023-01-12,,Active,EMP003,45000,Meets,Female,Black,27
EMP010,Christopher,Davis,IT,Specialist,IT Specialist,2022-11-07,,Active,EMP004,58000,Meets,Male,White,31
EMP011,Jessica,Miller,Finance,Specialist,Financial Analyst,2023-03-20,,Active,EMP005,55000,Meets,Female,Asian,26
EMP012,Daniel,Wilson,HR,Specialist,HR Specialist,2021-12-13,,Active,EMP006,50000,Meets,Male,Black,30
EMP013,Ashley,Moore,Clinical Operations,Assistant,Clinical Assistant,2024-02-05,,Active,EMP007,38000,Meets,Female,White,24
EMP014,Matthew,Jackson,Patient Services,Assistant,Patient Services Assistant,2024-01-15,,Active,EMP008,36000,Meets,Male,Hispanic,23
EMP015,Emily,White,Administration,Assistant,Administrative Assistant,2023-09-18,,Active,EMP009,35000,Meets,Female,White,25
EMP016,Joshua,Harris,Clinical Operations,Specialist,Clinical Specialist,2020-04-27,,Active,EMP001,56000,Exceeds,Male,Black,34
EMP017,Stephanie,Martin,Patient Services,Specialist,Patient Relations Specialist,2021-06-14,,Active,EMP002,51000,Meets,Female,White,32
EMP018,Kevin,Thompson,Administration,Specialist,Operations Specialist,2022-08-29,,Active,EMP003,49000,Meets,Male,Asian,28
EMP019,Rachel,Garcia,IT,Assistant,IT Support Assistant,2024-03-11,,Active,EMP004,42000,Meets,Female,Hispanic,26
EMP020,Brandon,Lee,Finance,Assistant,Finance Assistant,2023-11-06,,Active,EMP005,40000,Meets,Male,Asian,24
EMP021,Nicole,Anderson,HR,Assistant,HR Assistant,2024-04-22,,Active,EMP006,38000,Meets,Female,White,23
EMP022,Tyler,Rodriguez,Clinical Operations,Coordinator,Quality Coordinator,2019-12-09,,Active,EMP001,54000,Meets,Male,Hispanic,36
EMP023,Samantha,Johnson,Patient Services,Coordinator,Scheduling Coordinator,2020-10-26,,Active,EMP002,47000,Meets,Female,Black,31
EMP024,Andrew,Williams,Administration,Coordinator,Facilities Coordinator,2021-03-15,,Active,EMP003,46000,Meets,Male,White,29
EMP025,Megan,Brown,Clinical Operations,Assistant,Medical Assistant,2024-05-13,,Active,EMP007,37000,Meets,Female,White,22
EMP026,Justin,Davis,Patient Services,Assistant,Registration Assistant,2024-06-03,,Active,EMP008,35000,Meets,Male,Black,21
EMP027,Brittany,Miller,Administration,Assistant,Data Entry Assistant,2023-12-11,,Active,EMP009,34000,Meets,Female,Hispanic,24
EMP028,Ryan,Wilson,IT,Specialist,Network Specialist,2021-09-20,,Active,EMP004,60000,Meets,Male,White,33
EMP029,Kimberly,Moore,Finance,Specialist,Accounting Specialist,2022-02-07,,Active,EMP005,53000,Meets,Female,Asian,30
EMP030,Jonathan,Jackson,HR,Specialist,Recruitment Specialist,2020-11-30,,Active,EMP006,52000,Exceeds,Male,Black,35
EMP031,Lauren,White,Clinical Operations,Specialist,Compliance Specialist,2019-08-19,,Active,EMP001,57000,Meets,Female,White,37
EMP032,Nathan,Harris,Patient Services,Specialist,Insurance Specialist,2021-01-25,,Active,EMP002,50000,Meets,Male,Hispanic,32
EMP033,Courtney,Martin,Administration,Specialist,HR Information Specialist,2022-07-11,,Active,EMP003,48000,Meets,Female,Black,28
EMP034,Gregory,Thompson,Clinical Operations,Manager,Clinical Services Manager,2018-05-14,,Active,EMP001,74000,Exceeds,Male,White,43
EMP035,Vanessa,Garcia,Patient Services,Manager,Patient Experience Manager,2019-10-07,,Active,EMP002,69000,Meets,Female,Hispanic,40
EMP036,Scott,Lee,Administration,Manager,Administrative Services Manager,2020-12-21,,Active,EMP003,66000,Meets,Male,Asian,38
EMP037,Tiffany,Anderson,Clinical Operations,Coordinator,Training Coordinator,2023-04-17,,Active,EMP001,51000,Meets,Female,White,27
EMP038,Marcus,Rodriguez,Patient Services,Coordinator,Discharge Coordinator,2022-09-26,,Active,EMP002,49000,Meets,Male,Hispanic,30
EMP039,Crystal,Johnson,Administration,Coordinator,Communications Coordinator,2021-11-15,,Active,EMP003,47000,Meets,Female,Black,29
EMP040,Derek,Williams,IT,Coordinator,Systems Coordinator,2023-02-28,,Active,EMP004,56000,Meets,Male,White,31
EMP041,Jasmine,Brown,Finance,Coordinator,Budget Coordinator,2022-06-13,,Active,EMP005,54000,Meets,Female,Black,28
EMP042,Trevor,Davis,HR,Coordinator,Benefits Coordinator,2021-04-05,,Active,EMP006,51000,Meets,Male,White,33
